ID,Date,Artiste,Salle,Ville,Code postal
1a,2012-07-09,Kenny Wayne Shepherd,Le Trianon,Paris,75018
1b,2012-07-09,Gov’t Mule,Le Trianon,Paris,75018
2a,2012-11-13,Jimix,Zenith de Paris,Paris,75019
2b,2012-11-13,Deep Purple,Zenith de Paris,Paris,75019
3a,2013-06-06,Los Lobos,Bercy,Paris,75012
3b,2013-06-06,Neil Young,Bercy,Paris,75012
4a,2013-12-03,Uncle Acid & The Deadbeats,Bercy,Paris,75012
4b,2013-12-03,Black Sabbath,Bercy,Paris,75012
5a,2014-04-08,Black Moth,La Maroquinerie,Paris,75020
5b,2014-04-08,Uncle Acid & The Deadbeats,La Maroquinerie,Paris,75020
6a,2014-08-19,Encore Floyd,Jardin des Enfeus,Sarlat-la-Canéda,24200
7a,2014-10-24,Orange Goblin,Flèche d’Or,Paris,75020
7b,2014-10-24,Saint Vitus,Flèche d’Or,Paris,75020
8a,2015-09-08,Sons of Kemet,Grande Halle de la Villette,Paris,75019
8b,2015-09-08,"Archie Shepp, The Heliocentrics & Melvin van Peebles",Grande Halle de la Villette,Paris,75019
9a,2016-06-23,Joscho Stephan,Parc du Château,Fontainebleau,77300
9b,2016-06-23,Calypso Rose,Parc du Château,Fontainebleau,77300
9c,2016-06-23,Ibrahim Maalouf,Parc du Château,Fontainebleau,77300
10a,2016-06-25,Eva sur Seine,Parc du Château,Fontainebleau,77300
10b,2016-06-25,Brady Winterstein,Parc du Château,Fontainebleau,77300
10c,2016-06-25,Gregory Porter,Parc du Château,Fontainebleau,77300
10d,2016-06-25,Kamasi Washington,Parc du Château,Fontainebleau,77300
10e,2016-06-25,Monsieur Périné,Parc du Château,Fontainebleau,77300
11a,2016-11-12,Mia Karlsson,New Morning,Paris,75010
11b,2016-11-12,Tony Joe White,New Morning,Paris,75010
12,2016-12-03,King Crimson,Salle Pleyel,Paris,75008
13a,2017-07-06,Stéphane Wrembel,Parc du Château,Fontainebleau,77300
13b,2017-07-06,Avishai Cohen,Parc du Château,Fontainebleau,77300
13c,2017-07-06,Asaf Avidan,Parc du Château,Fontainebleau,77300
14a,2017-07-07,Youn Sun Nah,Parc du Château,Fontainebleau,77300
14b,2017-07-07,Django Memories Project,Parc du Château,Fontainebleau,77300
14c,2017-07-07,Larry Graham & Graham Central Station,Parc du Château,Fontainebleau,77300
15a,2017-07-08,Tchao Badjo,Parc du Château,Fontainebleau,77300
15b,2017-07-08,Robin Nolan (feat. Jan Akkerman),Parc du Château,Fontainebleau,77300
15c,2017-07-08,"Jean-Luc Ponty, Biréli Lagrène & Kyle Eastwood",Parc du Château,Fontainebleau,77300
15d,2017-07-08,Dhafer Youssef,Parc du Château,Fontainebleau,77300
15e,2017-07-08,Lucky Chops,Parc du Château,Fontainebleau,77300
16a,2017-07-09,Bokanté,Parc du Château,Fontainebleau,77300
16b,2017-07-09,Les Doigts de l’Homme,Parc du Château,Fontainebleau,77300
16c,2017-07-09,Roberto Fonseca,Parc du Château,Fontainebleau,77300
16d,2017-07-09,Trombone Shorty & Orleans Avenue,Parc du Château,Fontainebleau,77300
17,2017-10-30,Gov’t Mule,Le Trianon,Paris,75018
18a,2018-06-09,Jessie Lee & The Alchemists,Olympia,Paris,75009
18b,2018-06-09,Jeff Beck,Olympia,Paris,75009
19a,2018-07-05,Sansverino,Parc du Château,Fontainebleau,77300
19b,2018-07-05,Cory Henry and the Funk Apostles,Parc du Château,Fontainebleau,77300
19c,2018-07-05,George Benson,Parc du Château,Fontainebleau,77300
20a,2018-07-06,Mathias Lévy,Parc du Château,Fontainebleau,77300
20b,2018-07-06,"Biréli Lagrène, Stochelo Rosenberg, William Brunard",Parc du Château,Fontainebleau,77300
20c,2018-07-06,Gary Clark Jr.,Parc du Château,Fontainebleau,77300
21a,2018-07-07,Romain Vuillemin Quartet,Parc du Château,Fontainebleau,77300
21b,2018-07-07,Hugh Coltman,Parc du Château,Fontainebleau,77300
21c,2018-07-07,Fapy Lavertin – Evan Christopher Quartet,Parc du Château,Fontainebleau,77300
21d,2018-07-07,Sons of Kemet,Parc du Château,Fontainebleau,77300
21e,2018-07-07,Seun Kuti,Parc du Château,Fontainebleau,77300
22a,2018-07-08,Les élèves du CMDL saluent Didier Lockwood avec Fiona Monbet & David Enhco,Parc du Château,Fontainebleau,77300
22b,2018-07-08,Gismo Graf – Amati Schmitt – Brady Winterstein Quintet,Parc du Château,Fontainebleau,77300
22c,2018-07-08,Marcus Miller,Parc du Château,Fontainebleau,77300
22d,2018-07-08,Snarky Puppy,Parc du Château,Fontainebleau,77300
23,2018-08-01,Manish & Goypal,Le Troubadour,Metz,57000
24,2019-05-15,Sun Ra Arkestra,New Morning,Paris,75010
25,2019-06-26,Magma,Philharmonie de Paris,Paris,75019
26a,2019-07-04,Gwen Cahue Trio,Parc du Château,Fontainebleau,77300
26b,2019-07-04,Delvon Lamarr Organ Trio,Parc du Château,Fontainebleau,77300
26c,2019-07-04,Parov Stelar,Parc du Château,Fontainebleau,77300
27a,2019-07-05,Romane & Le Paris Swing Orchestra,Parc du Château,Fontainebleau,77300
27b,2019-07-05,Mayra Andrade,Parc du Château,Fontainebleau,77300
27c,2019-07-05,Maravillas de Mali,Parc du Château,Fontainebleau,77300
27d,2019-07-05,Jupiter & Okwess,Parc du Château,Fontainebleau,77300
28a,2019-07-06,La Verdine,Parc du Château,Fontainebleau,77300
28b,2019-07-06,Tchavolo Schmitt Quartet,Parc du Château,Fontainebleau,77300
28c,2019-07-06,Cyrille Aimée,Parc du Château,Fontainebleau,77300
28d,2019-07-06,Thomas Dutronc,Parc du Château,Fontainebleau,77300
28e,2019-07-06,Tom Misch,Parc du Château,Fontainebleau,77300
29a,2019-07-07,Marc Berthoumieux,Parc du Château,Fontainebleau,77300
29b,2019-07-07,Gonzalo Bergara « Django meets Piazolla » Featuring Leah Zeger,Parc du Château,Fontainebleau,77300
29c,2019-07-07,A Christian McBride Situation,Parc du Château,Fontainebleau,77300
29d,2019-07-07,Ibrahim Maalouf Invites Haidouti Orkestar,Parc du Château,Fontainebleau,77300
30,2020-01-22,Lucky Peterson,La Laiterie,Strasbourg,67000
